hr;weekdays;cnt
4;Freitag;98
5;Freitag;154
6;Freitag;693
7;Freitag;2102
8;Freitag;4204
9;Freitag;2321
10;Freitag;1318
11;Freitag;1387
12;Freitag;1781
13;Freitag;1915
14;Freitag;1882
15;Freitag;2020
16;Freitag;2621
17;Freitag;4115
18;Freitag;3512
19;Freitag;2278
20;Freitag;1737
21;Freitag;1300
22;Freitag;1043
23;Freitag;1043
0;Samstag;840
1;Samstag;610
2;Samstag;469
3;Samstag;307
4;Samstag;210
5;Samstag;172
6;Samstag;173
7;Samstag;312
8;Samstag;643
9;Samstag;1216
10;Samstag;1807
11;Samstag;2402
12;Samstag;2989
13;Samstag;3200
14;Samstag;3423
15;Samstag;3471
16;Samstag;3491
17;Samstag;3378
18;Samstag;2974
19;Samstag;2395
20;Samstag;1476
21;Samstag;878
22;Samstag;775
23;Samstag;880
0;Sonntag;855
1;Sonntag;704
2;Sonntag;503
3;Sonntag;348
4;Sonntag;247
5;Sonntag;138
6;Sonntag;114
7;Sonntag;183
8;Sonntag;416
9;Sonntag;891
10;Sonntag;1625
11;Sonntag;2163
12;Sonntag;2829
13;Sonntag;2959
14;Sonntag;3025
15;Sonntag;3049
16;Sonntag;3286
17;Sonntag;3199
18;Sonntag;2978
19;Sonntag;2421
20;Sonntag;1834
21;Sonntag;1355
22;Sonntag;934
23;Sonntag;637
0;Montag;387
1;Montag;201
2;Montag;143
3;Montag;97
4;Montag;66
5;Montag;129
6;Montag;716
7;Montag;1834
8;Montag;2418
9;Montag;1921
10;Montag;982
11;Montag;982
12;Montag;1412
16;Montag;2269
17;Montag;4223
18;Montag;3880
19;Montag;2134
20;Montag;1406
21;Montag;952
22;Montag;589
23;Montag;422
0;Dienstag;265
1;Dienstag;145
2;Dienstag;86
3;Dienstag;58
4;Dienstag;48
5;Dienstag;150
6;Dienstag;819
7;Dienstag;2455
8;Dienstag;4618
9;Dienstag;2572
10;Dienstag;1345
11;Dienstag;1359
12;Dienstag;1714
13;Dienstag;1741
14;Dienstag;1629
15;Dienstag;1816
16;Dienstag;2577
17;Dienstag;4666
18;Dienstag;4753
19;Dienstag;2841
20;Dienstag;2000
21;Dienstag;1458
22;Dienstag;963
23;Dienstag;618
0;Mittwoch;358
1;Mittwoch;179
2;Mittwoch;124
3;Mittwoch;93
4;Mittwoch;57
5;Mittwoch;161
6;Mittwoch;804
7;Mittwoch;2574
8;Mittwoch;4654
9;Mittwoch;2492
10;Mittwoch;1267
11;Mittwoch;1268
12;Mittwoch;1666
13;Mittwoch;1709
14;Mittwoch;1637
15;Mittwoch;1537
16;Mittwoch;2080
17;Mittwoch;4148
18;Mittwoch;4307
19;Mittwoch;2393
20;Mittwoch;1692
21;Mittwoch;1187
22;Mittwoch;898
23;Mittwoch;630
0;Donnerstag;313
1;Donnerstag;177
2;Donnerstag;102
3;Donnerstag;88
4;Donnerstag;70
5;Donnerstag;154
6;Donnerstag;795
7;Donnerstag;2491
8;Donnerstag;4536
9;Donnerstag;2389
10;Donnerstag;1357
11;Donnerstag;1277
12;Donnerstag;1716
13;Donnerstag;1857
14;Donnerstag;1781
15;Donnerstag;1738
16;Donnerstag;2467
17;Donnerstag;4242
18;Donnerstag;4079
19;Donnerstag;2594
20;Donnerstag;1783
21;Donnerstag;1308
22;Donnerstag;1014
23;Donnerstag;764
0;Freitag;433
1;Freitag;268
2;Freitag;156
3;Freitag;113
4;Freitag;70
5;Freitag;143
6;Freitag;679
7;Freitag;1957
8;Freitag;3524
9;Freitag;1760
10;Freitag;703
11;Freitag;344
12;Freitag;338
13;Freitag;295
14;Freitag;293
15;Freitag;243
16;Freitag;269
17;Freitag;907
18;Freitag;1490
19;Freitag;674
20;Freitag;367
21;Freitag;407
22;Freitag;398
23;Freitag;203
0;Samstag;189
1;Samstag;160
2;Samstag;111
3;Samstag;83
4;Samstag;112
5;Samstag;105
6;Samstag;139
7;Samstag;269
8;Samstag;595
9;Samstag;1069
10;Samstag;1569
11;Samstag;2112
12;Samstag;2626
13;Samstag;2742
14;Samstag;2876
15;Samstag;3105
16;Samstag;2909
17;Samstag;2737
18;Samstag;2460
19;Samstag;2147
20;Samstag;1649
21;Samstag;1113
22;Samstag;887
23;Samstag;844
0;Sonntag;733
1;Sonntag;605
2;Sonntag;469
3;Sonntag;344
4;Sonntag;222
5;Sonntag;149
6;Sonntag;163
7;Sonntag;216
8;Sonntag;337
9;Sonntag;273
10;Sonntag;209
11;Sonntag;239
12;Sonntag;585
13;Sonntag;602
14;Sonntag;615
15;Sonntag;806
16;Sonntag;786
17;Sonntag;1064
18;Sonntag;1069
19;Sonntag;879
20;Sonntag;770
21;Sonntag;521
22;Sonntag;432
23;Sonntag;310
0;Montag;211
1;Montag;122
2;Montag;78
3;Montag;33
4;Montag;46
5;Montag;108
6;Montag;635
7;Montag;1935
8;Montag;3834
9;Montag;1892
10;Montag;1016
11;Montag;948
12;Montag;1312
13;Montag;1479
14;Montag;1344
15;Montag;1494
16;Montag;2001
17;Montag;3881
18;Montag;3903
19;Montag;2271
20;Montag;1413
21;Montag;888
22;Montag;646
23;Montag;414
0;Dienstag;259
1;Dienstag;175
2;Dienstag;94
3;Dienstag;64
4;Dienstag;51
5;Dienstag;139
6;Dienstag;799
7;Dienstag;2414
8;Dienstag;4471
9;Dienstag;2124
10;Dienstag;1119
11;Dienstag;1165
12;Dienstag;1541
13;Dienstag;1472
14;Dienstag;1553
15;Dienstag;1642
16;Dienstag;2181
17;Dienstag;4090
18;Dienstag;4200
19;Dienstag;2527
20;Dienstag;1613
21;Dienstag;1100
22;Dienstag;774
23;Dienstag;534
0;Mittwoch;270
1;Mittwoch;146
2;Mittwoch;102
3;Mittwoch;60
4;Mittwoch;50
5;Mittwoch;137
6;Mittwoch;764
7;Mittwoch;2355
8;Mittwoch;4457
9;Mittwoch;2271
10;Mittwoch;1256
11;Mittwoch;1247
12;Mittwoch;1564
13;Mittwoch;1666
14;Mittwoch;1522
15;Mittwoch;1785
16;Mittwoch;2222
17;Mittwoch;4029
18;Mittwoch;4023
19;Mittwoch;2627
20;Mittwoch;1652
21;Mittwoch;1159
22;Mittwoch;778
23;Mittwoch;619
0;Donnerstag;318
1;Donnerstag;178
2;Donnerstag;121
3;Donnerstag;46
4;Donnerstag;58
5;Donnerstag;142
6;Donnerstag;730
7;Donnerstag;2330
8;Donnerstag;4268
9;Donnerstag;2321
10;Donnerstag;1218
11;Donnerstag;1075
12;Donnerstag;1587
13;Donnerstag;1581
14;Donnerstag;1558
15;Donnerstag;1719
16;Donnerstag;2314
17;Donnerstag;3820
18;Donnerstag;3771
19;Donnerstag;2583
20;Donnerstag;1657
21;Donnerstag;1189
22;Donnerstag;899
23;Donnerstag;662
0;Freitag;472
1;Freitag;253
2;Freitag;173
3;Freitag;107
4;Freitag;93
5;Freitag;139
6;Freitag;639
7;Freitag;2021
8;Freitag;3874
9;Freitag;2367
10;Freitag;1351
11;Freitag;1289
12;Freitag;1643
13;Freitag;1894
14;Freitag;1798
15;Freitag;1920
16;Freitag;2574
17;Freitag;3993
18;Freitag;3275
19;Freitag;2260
20;Freitag;1597
21;Freitag;1188
22;Freitag;920
23;Freitag;835
0;Samstag;680
1;Samstag;621
2;Samstag;477
3;Samstag;297
4;Samstag;175
5;Samstag;141
6;Samstag;179
7;Samstag;327
8;Samstag;728
9;Samstag;1535
10;Samstag;2287
11;Samstag;2848
12;Samstag;3537
13;Samstag;3867
14;Samstag;4175
15;Samstag;3873
16;Samstag;3675
17;Samstag;3402
18;Samstag;2914
19;Samstag;2393
20;Samstag;1767
21;Samstag;1248
22;Samstag;924
23;Samstag;947
0;Sonntag;794
1;Sonntag;631
2;Sonntag;434
3;Sonntag;365
4;Sonntag;252
5;Sonntag;351
6;Sonntag;360
7;Sonntag;372
8;Sonntag;550
9;Sonntag;1079
10;Sonntag;1850
11;Sonntag;2611
12;Sonntag;3449
13;Sonntag;3777
14;Sonntag;3794
15;Sonntag;3881
16;Sonntag;3660
17;Sonntag;3857
18;Sonntag;3465
19;Sonntag;2875
20;Sonntag;2126
21;Sonntag;1308
22;Sonntag;874
23;Sonntag;580
0;Montag;376
1;Montag;215
2;Montag;125
3;Montag;57
4;Montag;73
5;Montag;153
6;Montag;618
7;Montag;2034
8;Montag;4042
9;Montag;2193
10;Montag;1234
11;Montag;1204
12;Montag;1497
13;Montag;1595
14;Montag;1658
15;Montag;1775
16;Montag;2297
17;Montag;4179
18;Montag;3893
19;Montag;2465
20;Montag;1526
21;Montag;1061
22;Montag;700
23;Montag;432
0;Dienstag;231
1;Dienstag;167
2;Dienstag;104
3;Dienstag;65
4;Dienstag;71
5;Dienstag;159
6;Dienstag;791
7;Dienstag;2358
8;Dienstag;4611
9;Dienstag;2224
10;Dienstag;1331
11;Dienstag;1246
12;Dienstag;1661
13;Dienstag;1681
14;Dienstag;1528
15;Dienstag;1797
16;Dienstag;2297
17;Dienstag;4364
18;Dienstag;4297
19;Dienstag;2587
20;Dienstag;1718
21;Dienstag;1077
22;Dienstag;738
23;Dienstag;541
0;Mittwoch;304
1;Mittwoch;186
2;Mittwoch;82
3;Mittwoch;61
4;Mittwoch;50
5;Mittwoch;143
6;Mittwoch;734
7;Mittwoch;2335
8;Mittwoch;4436
9;Mittwoch;2287
10;Mittwoch;1235
11;Mittwoch;1304
12;Mittwoch;1680
13;Mittwoch;1578
14;Mittwoch;1638
15;Mittwoch;1798
16;Mittwoch;2886
17;Mittwoch;3953
18;Mittwoch;4106
19;Mittwoch;2816
20;Mittwoch;1895
21;Mittwoch;1264
22;Mittwoch;1221
23;Mittwoch;778
0;Donnerstag;430
1;Donnerstag;180
2;Donnerstag;105
3;Donnerstag;60
4;Donnerstag;55
5;Donnerstag;266
6;Donnerstag;1758
7;Donnerstag;4793
8;Donnerstag;6585
9;Donnerstag;3859
10;Donnerstag;2234
11;Donnerstag;2140
12;Donnerstag;2317
13;Donnerstag;2598
14;Donnerstag;2829
15;Donnerstag;3632
16;Donnerstag;5112
17;Donnerstag;7208
18;Donnerstag;6394
19;Donnerstag;4384
20;Donnerstag;2652
21;Donnerstag;1662
22;Donnerstag;1187
23;Donnerstag;1028
0;Freitag;518
1;Freitag;248
2;Freitag;150
3;Freitag;86
4;Freitag;67
5;Freitag;140
6;Freitag;712
7;Freitag;2051
8;Freitag;4098
9;Freitag;2410
10;Freitag;1468
11;Freitag;1535
12;Freitag;1818
13;Freitag;1919
14;Freitag;1991
15;Freitag;2139
16;Freitag;2835
17;Freitag;4300
18;Freitag;3708
19;Freitag;2488
20;Freitag;1720
21;Freitag;1170
22;Freitag;995
23;Freitag;920
0;Samstag;785
1;Samstag;534
2;Samstag;354
3;Samstag;296
4;Samstag;202
5;Samstag;143
6;Samstag;166
7;Samstag;365
8;Samstag;598
9;Samstag;1127
10;Samstag;1805
11;Samstag;2299
12;Samstag;2871
13;Samstag;3179
14;Samstag;3198
15;Samstag;3455
16;Samstag;3556
17;Samstag;3171
18;Samstag;3052
19;Samstag;2566
20;Samstag;1885
21;Samstag;1336
22;Samstag;1083
23;Samstag;967
0;Sonntag;873
1;Sonntag;670
2;Sonntag;450
3;Sonntag;380
4;Sonntag;223
5;Sonntag;132
6;Sonntag;173
7;Sonntag;237
8;Sonntag;447
9;Sonntag;984
10;Sonntag;1737
11;Sonntag;2682
12;Sonntag;3371
13;Sonntag;3688
14;Sonntag;3584
15;Sonntag;3541
16;Sonntag;3556
17;Sonntag;3342
18;Sonntag;3252
19;Sonntag;2557
20;Sonntag;1930
21;Sonntag;1204
22;Sonntag;860
23;Sonntag;568
0;Montag;377
1;Montag;171
2;Montag;106
3;Montag;59
4;Montag;63
5;Montag;139
6;Montag;654
7;Montag;2068
8;Montag;4109
9;Montag;2155
10;Montag;1217
11;Montag;1175
12;Montag;1485
13;Montag;1573
14;Montag;1477
15;Montag;1402
16;Montag;2222
17;Montag;4269
18;Montag;4165
19;Montag;2501
20;Montag;1689
21;Montag;1065
22;Montag;700
23;Montag;494
0;Dienstag;330
1;Dienstag;197
2;Dienstag;110
3;Dienstag;59
4;Dienstag;50
5;Dienstag;137
6;Dienstag;798
7;Dienstag;2365
8;Dienstag;4384
9;Dienstag;2274
10;Dienstag;1283
11;Dienstag;1210
12;Dienstag;1555
13;Dienstag;1749
14;Dienstag;1717
15;Dienstag;1922
16;Dienstag;2414
17;Dienstag;3768
18;Dienstag;3495
19;Dienstag;1764
20;Dienstag;969
21;Dienstag;718
22;Dienstag;593
23;Dienstag;457
0;Mittwoch;260
1;Mittwoch;176
2;Mittwoch;70
3;Mittwoch;45
4;Mittwoch;55
5;Mittwoch;133
6;Mittwoch;693
7;Mittwoch;2168
8;Mittwoch;4282
9;Mittwoch;2140
10;Mittwoch;1150
11;Mittwoch;1251
12;Mittwoch;1632
13;Mittwoch;1770
14;Mittwoch;1643
15;Mittwoch;1782
16;Mittwoch;2185
17;Mittwoch;4278
18;Mittwoch;4122
19;Mittwoch;2534
20;Mittwoch;1609
21;Mittwoch;1138
22;Mittwoch;854
23;Mittwoch;578
0;Donnerstag;114
1;Donnerstag;30
2;Donnerstag;80
3;Donnerstag;63
4;Donnerstag;58
5;Donnerstag;155
6;Donnerstag;656
7;Donnerstag;1841
8;Donnerstag;3923
9;Donnerstag;2183
10;Donnerstag;1204
11;Donnerstag;924
12;Donnerstag;280
13;Donnerstag;150
14;Donnerstag;245
15;Donnerstag;732
16;Donnerstag;1515
17;Donnerstag;2992
18;Donnerstag;3238
19;Donnerstag;2157
20;Donnerstag;1243
21;Donnerstag;861
22;Donnerstag;739
23;Donnerstag;591
0;Freitag;365
1;Freitag;242
2;Freitag;172
3;Freitag;100
4;Freitag;77
5;Freitag;133
6;Freitag;562
7;Freitag;1760
8;Freitag;3528
9;Freitag;2092
10;Freitag;1132
11;Freitag;1205
12;Freitag;1492
13;Freitag;1661
14;Freitag;1438
15;Freitag;1234
16;Freitag;1159
17;Freitag;2015
18;Freitag;1915
19;Freitag;1228
20;Freitag;487
21;Freitag;431
22;Freitag;475
23;Freitag;516
0;Samstag;388
1;Samstag;371
2;Samstag;285
3;Samstag;256
4;Samstag;153
5;Samstag;117
6;Samstag;143
7;Samstag;309
8;Samstag;538
9;Samstag;976
10;Samstag;1455
11;Samstag;2137
12;Samstag;2748
13;Samstag;3068
14;Samstag;2898
15;Samstag;3091
16;Samstag;2974
17;Samstag;2785
18;Samstag;2598
19;Samstag;2291
20;Samstag;1560
21;Samstag;1011
22;Samstag;828
23;Samstag;759
0;Sonntag;692
1;Sonntag;598
2;Sonntag;458
3;Sonntag;366
4;Sonntag;175
5;Sonntag;151
6;Sonntag;150
7;Sonntag;225
8;Sonntag;412
9;Sonntag;832
10;Sonntag;1522
11;Sonntag;2221
12;Sonntag;2516
13;Sonntag;2617
14;Sonntag;2703
15;Sonntag;2828
16;Sonntag;2553
17;Sonntag;2373
18;Sonntag;2353
19;Sonntag;1805
20;Sonntag;1179
21;Sonntag;804
22;Sonntag;634
23;Sonntag;449
0;Montag;272
1;Montag;188
2;Montag;133
3;Montag;69
4;Montag;65
5;Montag;139
6;Montag;671
7;Montag;2120
8;Montag;4155
9;Montag;2098
10;Montag;1160
11;Montag;1174
12;Montag;1585
13;Montag;1725
14;Montag;1621
15;Montag;1785
16;Montag;2343
17;Montag;4263
18;Montag;4145
19;Montag;2474
20;Montag;1432
21;Montag;918
22;Montag;663
23;Montag;497
0;Dienstag;247
1;Dienstag;169
2;Dienstag;89
3;Dienstag;69
4;Dienstag;69
5;Dienstag;140
6;Dienstag;728
7;Dienstag;2302
8;Dienstag;4418
9;Dienstag;2135
10;Dienstag;1100
11;Dienstag;1151
12;Dienstag;1475
13;Dienstag;1453
14;Dienstag;1451
15;Dienstag;1527
16;Dienstag;2090
17;Dienstag;4065
18;Dienstag;3870
19;Dienstag;2314
20;Dienstag;1417
21;Dienstag;1031
22;Dienstag;735
23;Dienstag;485
0;Mittwoch;294
1;Mittwoch;138
2;Mittwoch;93
3;Mittwoch;55
4;Mittwoch;68
5;Mittwoch;155
6;Mittwoch;771
7;Mittwoch;2319
8;Mittwoch;4502
9;Mittwoch;2225
10;Mittwoch;1218
11;Mittwoch;1217
12;Mittwoch;1557
13;Mittwoch;1611
14;Mittwoch;1540
15;Mittwoch;1554
16;Mittwoch;2069
17;Mittwoch;3927
18;Mittwoch;2813
19;Mittwoch;1519
20;Mittwoch;1008
21;Mittwoch;481
22;Mittwoch;297
23;Mittwoch;209
0;Donnerstag;187
1;Donnerstag;109
2;Donnerstag;80
3;Donnerstag;49
4;Donnerstag;59
5;Donnerstag;134
6;Donnerstag;644
7;Donnerstag;1983
8;Donnerstag;4002
9;Donnerstag;2217
10;Donnerstag;1092
11;Donnerstag;1106
12;Donnerstag;1406
13;Donnerstag;1528
14;Donnerstag;1376
15;Donnerstag;1628
16;Donnerstag;1944
17;Donnerstag;3305
18;Donnerstag;3600
19;Donnerstag;2276
20;Donnerstag;1408
21;Donnerstag;964
22;Donnerstag;781
23;Donnerstag;676
0;Freitag;383
1;Freitag;248
2;Freitag;139
3;Freitag;103
4;Freitag;81
5;Freitag;134
6;Freitag;630
7;Freitag;1886
8;Freitag;3879
9;Freitag;2185
10;Freitag;1241
11;Freitag;1327
12;Freitag;1600
13;Freitag;1714
14;Freitag;1715
15;Freitag;1862
16;Freitag;2494
17;Freitag;3950
18;Freitag;3525
19;Freitag;2321
20;Freitag;1607
21;Freitag;1079
22;Freitag;912
23;Freitag;867
0;Samstag;768
1;Samstag;530
2;Samstag;406
3;Samstag;247
4;Samstag;169
5;Samstag;122
6;Samstag;162
7;Samstag;362
8;Samstag;642
9;Samstag;1298
10;Samstag;2007
11;Samstag;2681
12;Samstag;3358
13;Samstag;3692
14;Samstag;3883
15;Samstag;3963
16;Samstag;3999
17;Samstag;3798
18;Samstag;3502
19;Samstag;2843
20;Samstag;2045
21;Samstag;1333
22;Samstag;1233
23;Samstag;1144
0;Sonntag;906
1;Sonntag;652
2;Sonntag;513
3;Sonntag;353
4;Sonntag;216
5;Sonntag;150
6;Sonntag;177
7;Sonntag;259
8;Sonntag;447
9;Sonntag;1028
10;Sonntag;1818
11;Sonntag;2470
12;Sonntag;1216
13;Sonntag;462
14;Sonntag;1311
15;Sonntag;2041
16;Sonntag;2393
17;Sonntag;2579
18;Sonntag;2552
19;Sonntag;2039
20;Sonntag;1362
21;Sonntag;782
22;Sonntag;750
23;Sonntag;525
0;Montag;287
1;Montag;152
2;Montag;120
3;Montag;71
4;Montag;58
5;Montag;141
6;Montag;536
7;Montag;1417
8;Montag;3077
9;Montag;787
10;Montag;187
11;Montag;303
12;Montag;610
13;Montag;765
14;Montag;672
15;Montag;601
16;Montag;728
17;Montag;1802
18;Montag;2141
19;Montag;1183
20;Montag;639
21;Montag;427
22;Montag;393
23;Montag;303
0;Dienstag;156
1;Dienstag;143
2;Dienstag;63
3;Dienstag;39
4;Dienstag;43
5;Dienstag;140
6;Dienstag;720
7;Dienstag;2291
8;Dienstag;4440
9;Dienstag;2327
10;Dienstag;1213
11;Dienstag;1070
12;Dienstag;1008
13;Dienstag;314
14;Dienstag;377
15;Dienstag;792
16;Dienstag;1246
17;Dienstag;3000
18;Dienstag;3348
19;Dienstag;2158
20;Dienstag;1246
21;Dienstag;834
22;Dienstag;727
23;Dienstag;457
0;Mittwoch;228
1;Mittwoch;129
2;Mittwoch;79
3;Mittwoch;52
4;Mittwoch;58
5;Mittwoch;107
6;Mittwoch;661
7;Mittwoch;1981
8;Mittwoch;3629
9;Mittwoch;930
10;Mittwoch;599
11;Mittwoch;270
12;Mittwoch;568
13;Mittwoch;371
14;Mittwoch;319
15;Mittwoch;472
16;Mittwoch;1240
17;Mittwoch;3115
18;Mittwoch;3327
19;Mittwoch;2189
20;Mittwoch;1322
21;Mittwoch;842
22;Mittwoch;745
23;Mittwoch;505
0;Donnerstag;285
1;Donnerstag;192
2;Donnerstag;89
3;Donnerstag;70
4;Donnerstag;70
5;Donnerstag;119
6;Donnerstag;685
7;Donnerstag;2028
8;Donnerstag;3846
9;Donnerstag;1540
10;Donnerstag;999
11;Donnerstag;949
12;Donnerstag;1309
13;Donnerstag;1476
14;Donnerstag;1392
15;Donnerstag;1502
16;Donnerstag;2043
17;Donnerstag;3540
18;Donnerstag;3158
19;Donnerstag;1810
20;Donnerstag;1245
21;Donnerstag;882
22;Donnerstag;713
23;Donnerstag;586
0;Freitag;393
1;Freitag;223
2;Freitag;146
3;Freitag;75
4;Freitag;77
5;Freitag;121
6;Freitag;621
7;Freitag;1806
8;Freitag;3486
9;Freitag;2027
10;Freitag;1163
11;Freitag;1375
12;Freitag;1733
13;Freitag;1778
14;Freitag;1712
15;Freitag;1847
16;Freitag;2341
17;Freitag;3438
18;Freitag;2965
19;Freitag;1959
20;Freitag;1339
21;Freitag;870
22;Freitag;760
23;Freitag;695
0;Samstag;690
1;Samstag;515
2;Samstag;295
3;Samstag;227
4;Samstag;147
5;Samstag;126
6;Samstag;164
7;Samstag;276
8;Samstag;488
9;Samstag;861
10;Samstag;1420
11;Samstag;1940
12;Samstag;2165
13;Samstag;2495
14;Samstag;2524
15;Samstag;2418
16;Samstag;1387
17;Samstag;1009
18;Samstag;1212
19;Samstag;767
20;Samstag;266
21;Samstag;316
22;Samstag;463
23;Samstag;447
0;Sonntag;434
1;Sonntag;387
2;Sonntag;330
3;Sonntag;272
4;Sonntag;194
5;Sonntag;112
6;Sonntag;137
7;Sonntag;188
8;Sonntag;278
9;Sonntag;774
10;Sonntag;1239
11;Sonntag;1708
12;Sonntag;1954
13;Sonntag;2064
14;Sonntag;2205
15;Sonntag;2257
16;Sonntag;2086
17;Sonntag;2012
18;Sonntag;1819
19;Sonntag;1377
20;Sonntag;913
21;Sonntag;833
22;Sonntag;683
23;Sonntag;716
0;Montag;425
1;Montag;235
2;Montag;233
3;Montag;158
4;Montag;140
5;Montag;116
6;Montag;93
7;Montag;73
8;Montag;203
9;Montag;310
10;Montag;163
11;Montag;180
12;Montag;294
13;Montag;290
14;Montag;631
15;Montag;789
16;Montag;1001
17;Montag;867
18;Montag;875
19;Montag;832
20;Montag;607
21;Montag;421
22;Montag;375
23;Montag;328
0;Dienstag;235
1;Dienstag;156
2;Dienstag;127
3;Dienstag;62
4;Dienstag;79
5;Dienstag;116
6;Dienstag;560
7;Dienstag;1878
8;Dienstag;3658
9;Dienstag;1716
10;Dienstag;606
11;Dienstag;430
12;Dienstag;919
13;Dienstag;1075
14;Dienstag;1066
15;Dienstag;1286
16;Dienstag;1703
17;Dienstag;3236
18;Dienstag;2175
19;Dienstag;1877
20;Dienstag;1021
21;Dienstag;723
22;Dienstag;510
23;Dienstag;342
0;Mittwoch;195
1;Mittwoch;103
2;Mittwoch;108
3;Mittwoch;46
4;Mittwoch;39
5;Mittwoch;120
6;Mittwoch;674
7;Mittwoch;2086
8;Mittwoch;4271
9;Mittwoch;2166
10;Mittwoch;1054
11;Mittwoch;1018
12;Mittwoch;1288
13;Mittwoch;1436
14;Mittwoch;1252
15;Mittwoch;1362
16;Mittwoch;1851
17;Mittwoch;3247
18;Mittwoch;3597
19;Mittwoch;1743
20;Mittwoch;1147
21;Mittwoch;540
22;Mittwoch;472
23;Mittwoch;365
0;Donnerstag;195
1;Donnerstag;121
2;Donnerstag;83
3;Donnerstag;39
4;Donnerstag;42
5;Donnerstag;133
6;Donnerstag;720
7;Donnerstag;2289
8;Donnerstag;4324
9;Donnerstag;2214
10;Donnerstag;1080
11;Donnerstag;953
12;Donnerstag;1310
13;Donnerstag;1421
14;Donnerstag;1382
15;Donnerstag;1395
16;Donnerstag;1910
17;Donnerstag;3430
18;Donnerstag;3075
19;Donnerstag;1855
20;Donnerstag;1086
21;Donnerstag;773
22;Donnerstag;614
23;Donnerstag;506
0;Freitag;111
1;Freitag;150
2;Freitag;109
3;Freitag;74
4;Freitag;53
5;Freitag;131
6;Freitag;655
7;Freitag;1995
8;Freitag;3964
9;Freitag;2063
10;Freitag;1068
11;Freitag;1090
12;Freitag;1410
13;Freitag;1393
14;Freitag;1255
15;Freitag;1373
16;Freitag;1970
17;Freitag;3338
18;Freitag;2810
19;Freitag;1683
20;Freitag;1021
21;Freitag;732
22;Freitag;677
23;Freitag;584
0;Samstag;546
1;Samstag;419
2;Samstag;291
3;Samstag;171
4;Samstag;130
5;Samstag;94
6;Samstag;117
7;Samstag;286
8;Samstag;440
9;Samstag;595
10;Samstag;937
11;Samstag;1327
12;Samstag;1601
13;Samstag;1748
14;Samstag;1863
15;Samstag;1964
16;Samstag;1994
17;Samstag;1828
18;Samstag;1786
19;Samstag;1491
20;Samstag;898
21;Samstag;626
22;Samstag;594
23;Samstag;571
0;Sonntag;529
1;Sonntag;375
2;Sonntag;307
3;Sonntag;204
4;Sonntag;158
5;Sonntag;91
6;Sonntag;132
7;Sonntag;212
8;Sonntag;343
9;Sonntag;768
10;Sonntag;1383
11;Sonntag;1948
12;Sonntag;2280
13;Sonntag;2713
14;Sonntag;2894
15;Sonntag;2903
16;Sonntag;2872
17;Sonntag;2634
18;Sonntag;2436
19;Sonntag;1719
20;Sonntag;991
21;Sonntag;688
22;Sonntag;481
23;Sonntag;368
0;Montag;203
1;Montag;105
2;Montag;80
3;Montag;34
4;Montag;46
5;Montag;126
6;Montag;668
7;Montag;2135
8;Montag;4302
9;Montag;2076
10;Montag;1075
11;Montag;1021
12;Montag;1230
13;Montag;1322
14;Montag;1327
15;Montag;1370
16;Montag;1935
17;Montag;3833
18;Montag;3709
19;Montag;2245
20;Montag;1225
21;Montag;786
22;Montag;507
23;Montag;332
0;Dienstag;201
1;Dienstag;148
2;Dienstag;92
3;Dienstag;53
4;Dienstag;50
5;Dienstag;127
6;Dienstag;781
7;Dienstag;2505
8;Dienstag;4557
9;Dienstag;2125
10;Dienstag;1033
11;Dienstag;933
12;Dienstag;1307
13;Dienstag;1300
14;Dienstag;1253
15;Dienstag;1370
16;Dienstag;1924
17;Dienstag;3861
18;Dienstag;3841
19;Dienstag;2246
20;Dienstag;1142
21;Dienstag;835
22;Dienstag;664
23;Dienstag;433
0;Mittwoch;224
1;Mittwoch;147
2;Mittwoch;84
3;Mittwoch;70
4;Mittwoch;44
5;Mittwoch;120
6;Mittwoch;796
7;Mittwoch;2400
8;Mittwoch;4578
9;Mittwoch;2029
10;Mittwoch;998
11;Mittwoch;1016
12;Mittwoch;1294
13;Mittwoch;1374
14;Mittwoch;1339
15;Mittwoch;1395
16;Mittwoch;2030
17;Mittwoch;3834
18;Mittwoch;3823
19;Mittwoch;2178
20;Mittwoch;1294
21;Mittwoch;907
22;Mittwoch;691
23;Mittwoch;451
0;Donnerstag;260
1;Donnerstag;164
2;Donnerstag;77
3;Donnerstag;63
4;Donnerstag;50
5;Donnerstag;134
6;Donnerstag;752
7;Donnerstag;2349
8;Donnerstag;4702
9;Donnerstag;2351
10;Donnerstag;1195
11;Donnerstag;1211
12;Donnerstag;1524
13;Donnerstag;1598
14;Donnerstag;1542
15;Donnerstag;1645
16;Donnerstag;2208
17;Donnerstag;4013
18;Donnerstag;3954
19;Donnerstag;2323
20;Donnerstag;1327
21;Donnerstag;1021
22;Donnerstag;757
23;Donnerstag;514
0;Freitag;362
1;Freitag;203
2;Freitag;112
3;Freitag;83
4;Freitag;67
5;Freitag;144
6;Freitag;640
7;Freitag;2171
8;Freitag;4286
9;Freitag;2289
10;Freitag;1283
11;Freitag;1237
12;Freitag;1642
13;Freitag;1724
14;Freitag;1604
15;Freitag;1714
16;Freitag;2347
17;Freitag;3879
18;Freitag;3317
19;Freitag;2063
20;Freitag;1243
21;Freitag;780
6;Samstag;153
7;Samstag;284
8;Samstag;564
9;Samstag;966
10;Samstag;1328
11;Samstag;1743
12;Samstag;2154
13;Samstag;2560
